Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
88. Fri7/17 vs LAD W (5-3),Ramos,Moore,Espinosa,Escobar,Desmond,Robinson,Taylor,Harper,Zimmermann,
89. Sat7/18 vs LAD L (2-4)#,Lobaton,Moore,Espinosa,Escobar,Desmond,Robinson,Taylor,Harper,Fister,
90. Sun7/19 vs LAD L (0-5),Ramos,Robinson,Espinosa,Escobar,Desmond,den Dekker,Taylor,Harper,Scherzer,
91. Mon7/20 vs NYM W (7-2),Lobaton,Robinson,Espinosa,Escobar,Desmond,den Dekker,Taylor,Harper,Gonzalez,
92. Tue7/21 vs NYM L (2-7),Ramos,Robinson,Espinosa,Escobar,Desmond,den Dekker,Taylor,Harper,Ross,
93. Wed7/22 vs NYM W (4-3),Ramos,Robinson,Espinosa,Escobar,Desmond,den Dekker,Taylor,Harper,Zimmermann,
94. Thu7/23 at PIT L (3-7)#,Ramos,Moore,Uggla,Espinosa,Desmond,Robinson,Taylor,Harper,Fister,
95. Fri7/24 at PIT L (5-7)#,Ramos,Moore,Uggla,Espinosa,Desmond,den Dekker,Taylor,Harper,Scherzer,
96. Sat7/25 at PIT W (9-3),Lobaton,Robinson,Rendon,Escobar,Desmond,den Dekker,Taylor,Harper,Gonzalez,
97. Sun7/26 at PIT L (1-3),Ramos,Robinson,Espinosa,Escobar,Desmond,den Dekker,Taylor,Harper,Ross,
98. Tue7/28 at MIA L (1-4),Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Zimmermann,
99. Wed7/29 at MIA W (7-2),Lobaton,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Fister,
100. Thu7/30 at MIA W (1-0),Ramos,Zimmerman,Rendon,Escobar,Desmond,Robinson,Taylor,Harper,Scherzer,
101. Fri7/31 at NYM L (1-2),Lobaton,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Gonzalez,
102. Sat8/1 at NYM L (2-3),Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Ross,
103. Sun8/2 at NYM L (2-5),Lobaton,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Zimmermann,
104. Mon8/3 vs ARI L (4-6),Ramos,Zimmerman,Rendon,Escobar,Desmond,Robinson,Taylor,Harper,Fister,
105. Tue8/4 vs ARI W (5-4)#,Ramos,Zimmerman,Rendon,Escobar,Desmond,Werth,Taylor,Harper,Scherzer,
