Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
119. Wed8/17 at COL L (10-12),Ramos,Murphy,Turner,Rendon,Espinosa,Werth,Goodwin,Harper,Strasburg,
120. Thu8/18 at ATL W (8-2),Severino,Robinson,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Lopez,
121. Fri8/19 at ATL W (7-6),Ramos,Robinson,Turner,Rendon,Espinosa,Werth,Revere,Harper,Roark,
122. Sat8/20 at ATL W (11-9),Ramos,Zimmerman,Murphy,Rendon,Difo,Werth,Turner,Harper,Scherzer,
123. Sun8/21 at ATL L (6-7),Ramos,Zimmerman,Murphy,Difo,Espinosa,Heisey,Turner,Harper,Gonzalez,
124. Mon8/22 at BAL L (3-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Turner,Harper,Cole,Werth
125. Tue8/23 at BAL L (1-8),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Lopez,Robinson
126. Wed8/24 vs BAL L (8-10)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Roark,
127. Thu8/25 vs BAL W (4-0),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Scherzer,
128. Fri8/26 vs COL W (8-5),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Gonzalez,
129. Sat8/27 vs COL L (4-9)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Cole,
130. Sun8/28 vs COL L (3-5),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Revere,Turner,Harper,Giolito,
131. Mon8/29 at PHI W (4-0),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Roark,
132. Tue8/30 at PHI W (3-2),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Scherzer,
133. Wed8/31 at PHI W (2-1)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Taylor,Harper,Gonzalez,
134. Fri9/2 at NYM W (4-1),Ramos,Robinson,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Cole,
135. Sat9/3 at NYM L (1-3),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Roark,
136. Sun9/4 at NYM L (1-5),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Lopez,
137. Mon9/5 vs ATL W (6-4),Lobaton,Robinson,Turner,Rendon,Espinosa,Heisey,Revere,Goodwin,Scherzer,
138. Tue9/6 vs ATL W (9-7),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Gonzalez,
139. Wed9/7 vs ATL W (5-4),Ramos,Zimmerman,Murphy,Difo,Espinosa,Werth,Turner,Harper,Strasburg,
140. Thu9/8 vs PHI L (1-4),Lobaton,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Cole,
141. Fri9/9 vs PHI W (5-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Roark,
142. Sat9/10 vs PHI W (3-0),Lobaton,Robinson,Murphy,Rendon,Espinosa,Revere,Turner,Harper,Scherzer,
143. Sun9/11 vs PHI W (3-2)#,Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Gonzalez,
144. Mon9/12 vs NYM W (8-1),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Latos,
145. Tue9/13 vs NYM L (3-4),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Cole,
146. Wed9/14 vs NYM W (1-0),Ramos,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Roark,
147. Fri9/16 at ATL W (7-2),Ramos,Zimmerman,Murphy,Rendon,Drew,Werth,Turner,Harper,Scherzer,
148. Sat9/17 at ATL L (3-7),Severino,Zimmerman,Murphy,Rendon,Espinosa,Werth,Turner,Harper,Gonzalez,
